Series_reference,Period,Data_value,UNITS
BDCQ.SF1AA3CA,2017.09,1288.648,Dollars
BDCQ.SF1AA3CA,2017.12,1772.086,Dollars
BDCQ.SF1AA3CA,2018.03,1554.221,Dollars
BDCQ.SF1AA3CA,2018.06,1441.386,Dollars
BDCQ.SF1AA3CA,2018.09,1364.769,Dollars
BDCQ.SF1AA3CA,2018.12,1771.028,Dollars
BDCQ.SF1AA3CA,2019.03,1665.84,Dollars
BDCQ.SF1AA3CA,2019.06,1554.397,Dollars
BDCQ.SF1AA3CA,2019.09,1484.434,Dollars
BDCQ.SF1AA3CA,2019.12,1817.118,Dollars
BDCQ.SF1AA3CA,2020.03,1582.915,Dollars
BDCQ.SF1AA3CA,2020.06,1421.593,Dollars
BDCQ.SF1AA3CA,2020.09,1614.752,Dollars
BDCQ.SF1AA3CA,2020.12,2089.453,Dollars
BDCQ.SF1AA3CA,2021.03,1817.439,Dollars
BDCQ.SF1AA3CA,2021.06,1814.973,Dollars
BDCQ.SF1AA3CS,2016.06,1266.46,Dollars
BDCQ.SF1AA3CS,2016.09,1290.305,Dollars
BDCQ.SF1AA3CS,2016.12,1221.059,Dollars
BDCQ.SF1AA3CS,2017.03,1266.43,Dollars
BDCQ.SF1AA3CS,2017.06,1329.659,Dollars
BDCQ.SF1AA3CS,2017.09,1441.852,Dollars
BDCQ.SF1AA3CS,2017.12,1550.553,Dollars
BDCQ.SF1AA3CS,2018.03,1513.2,Dollars
BDCQ.SF1AA3CS,2018.06,1544.738,Dollars
BDCQ.SF1AA3CS,2018.09,1520.486,Dollars
BDCQ.SF1AA3CS,2018.12,1542.182,Dollars
BDCQ.SF1AA3CS,2019.03,1637.375,Dollars
BDCQ.SF1AA3CS,2019.06,1663.32,Dollars
BDCQ.SF1AA3CS,2019.09,1647.29,Dollars
BDCQ.SF1AA3CS,2019.12,1579.243,Dollars
BDCQ.SF1AA3CS,2020.03,1565.648,Dollars
BDCQ.SF1AA3CS,2020.06,1517.493,Dollars
BDCQ.SF1AA3CS,2020.09,1790.6,Dollars
BDCQ.SF1AA3CS,2020.12,1813.916,Dollars
BDCQ.SF1AA3CS,2021.03,1801.619,Dollars
BDCQ.SF1AA3CS,2021.06,1936.104,Dollars
BDCQ.SF1AA3CT,2016.06,1283.697,Dollars
BDCQ.SF1AA3CT,2016.09,1265.038,Dollars
BDCQ.SF1AA3CT,2016.12,1243.415,Dollars
BDCQ.SF1AA3CT,2017.03,1257.041,Dollars
BDCQ.SF1AA3CT,2017.06,1335.795,Dollars
BDCQ.SF1AA3CT,2017.09,1448.468,Dollars
BDCQ.SF1AA3CT,2017.12,1524.302,Dollars
BDCQ.SF1AA3CT,2018.03,1538.137,Dollars
BDCQ.SF1AA3CT,2018.06,1528.113,Dollars
BDCQ.SF1AA3CT,2018.09,1525.933,Dollars
BDCQ.SF1AA3CT,2018.12,1554.686,Dollars
BDCQ.SF1AA3CT,2019.03,1624.891,Dollars
BDCQ.SF1AA3CT,2019.06,1666.06,Dollars
BDCQ.SF1AA3CT,2019.09,1638.735,Dollars
BDCQ.SF1AA3CT,2019.12,1587.887,Dollars
BDCQ.SF1AA3CT,2020.03,1559.372,Dollars
BDCQ.SF1AA3CT,2020.06,1614.86,Dollars
BDCQ.SF1AA3CT,2020.09,1728.748,Dollars
BDCQ.SF1AA3CT,2020.12,1796.348,Dollars
BDCQ.SF1AA3CT,2021.03,1837.034,Dollars
BDCQ.SF1AA3CT,2021.06,1909.16,Dollars
BDCQ.SF1AACA,2016.06,2306.12,Dollars
BDCQ.SF1AACA,2016.09,2215.81,Dollars
BDCQ.SF1AACA,2016.12,2445,Dollars
BDCQ.SF1AACA,2017.03,2321.58,Dollars
BDCQ.SF1AACA,2017.06,2475.22,Dollars
BDCQ.SF1AACA,2017.09,2571.09,Dollars
BDCQ.SF1AACA,2017.12,3062.91,Dollars
BDCQ.SF1AACA,2018.03,2966.24,Dollars
BDCQ.SF1AACA,2018.06,2929.48,Dollars
BDCQ.SF1AACA,2018.09,2862.45,Dollars
BDCQ.SF1AACA,2018.12,3341.53,Dollars
BDCQ.SF1AACA,2019.03,3059.59,Dollars
BDCQ.SF1AACA,2019.06,3071.57,Dollars
BDCQ.SF1AACA,2019.09,2865.95,Dollars
BDCQ.SF1AACA,2019.12,3188.1,Dollars
BDCQ.SF1AACA,2020.03,2655.93,Dollars
BDCQ.SF1AACA,2020.06,2553.038,Dollars
BDCQ.SF1AACA,2020.09,3054.853,Dollars
BDCQ.SF1AACA,2020.12,3579.432,Dollars
BDCQ.SF1AACA,2021.03,3208.221,Dollars
BDCQ.SF1AACA,2021.06,3641.703,Dollars
BDCQ.SF1AACS,2016.06,2332.432,Dollars
BDCQ.SF1AACS,2016.09,2348.339,Dollars
BDCQ.SF1AACS,2016.12,2277.052,Dollars
BDCQ.SF1AACS,2017.03,2338.946,Dollars
BDCQ.SF1AACS,2017.06,2503.928,Dollars
BDCQ.SF1AACS,2017.09,2714.611,Dollars
BDCQ.SF1AACS,2017.12,2852.218,Dollars
BDCQ.SF1AACS,2018.03,3003.58,Dollars
BDCQ.SF1AACS,2018.06,2958.24,Dollars
BDCQ.SF1AACS,2018.09,3011.21,Dollars
BDCQ.SF1AACS,2018.12,3113.664,Dollars
BDCQ.SF1AACS,2019.03,3110.905,Dollars
BDCQ.SF1AACS,2019.06,3096.874,Dollars
BDCQ.SF1AACS,2019.09,3007.035,Dollars
BDCQ.SF1AACS,2019.12,2970.535,Dollars
BDCQ.SF1AACS,2020.03,2710.882,Dollars
BDCQ.SF1AACS,2020.06,2569.818,Dollars
BDCQ.SF1AACS,2020.09,3200.535,Dollars
BDCQ.SF1AACS,2020.12,3333.713,Dollars
BDCQ.SF1AACS,2021.03,3285.101,Dollars
BDCQ.SF1AACS,2021.06,3659.258,Dollars
BDCQ.SF1AACT,2016.06,2312.453,Dollars
BDCQ.SF1AACT,2016.09,2335.849,Dollars
BDCQ.SF1AACT,2016.12,2295.443,Dollars
BDCQ.SF1AACT,2017.03,2340.95,Dollars
BDCQ.SF1AACT,2017.06,2508.436,Dollars
BDCQ.SF1AACT,2017.09,2700.144,Dollars
BDCQ.SF1AACT,2017.12,2871.525,Dollars
BDCQ.SF1AACT,2018.03,2961.662,Dollars
BDCQ.SF1AACT,2018.06,2980.965,Dollars
BDCQ.SF1AACT,2018.09,3019.614,Dollars
BDCQ.SF1AACT,2018.12,3095.407,Dollars
BDCQ.SF1AACT,2019.03,3122.541,Dollars
BDCQ.SF1AACT,2019.06,3082.653,Dollars
BDCQ.SF1AACT,2019.09,3015.023,Dollars
BDCQ.SF1AACT,2019.12,2973.892,Dollars
BDCQ.SF1AACT,2020.03,,Dollars
BDCQ.SF1AACT,2020.06,,Dollars
BDCQ.SF1AACT,2020.09,3196.957,Dollars
BDCQ.SF1AACT,2020.12,3297.501,Dollars
BDCQ.SF1AACT,2021.03,3440.366,Dollars
BDCQ.SF1AACT,2021.06,3656.773,Dollars
BDCQ.SF1BB1CA,2016.06,1119.02,Dollars
BDCQ.SF1BB1CA,2016.09,1101.412,Dollars
BDCQ.SF1BB1CA,2016.12,1139.459,Dollars
BDCQ.SF1BB1CA,2017.03,1040.5,Dollars
BDCQ.SF1BB1CA,2017.06,1150.976,Dollars
BDCQ.SF1BB1CA,2017.09,1084.658,Dollars
BDCQ.SF1BB1CA,2017.12,1352.84,Dollars
BDCQ.SF1BB1CA,2018.03,1224.534,Dollars
BDCQ.SF1BB1CA,2018.06,1105.167,Dollars
BDCQ.SF1BB1CA,2018.09,1372.723,Dollars
BDCQ.SF1BB1CA,2018.12,1230.969,Dollars
BDCQ.SF1BB1CA,2019.03,1115.478,Dollars
BDCQ.SF1BB1CA,2019.06,1210.962,Dollars
BDCQ.SF1BB1CA,2019.09,1234.819,Dollars
BDCQ.SF1BB1CA,2019.12,1276.337,Dollars
BDCQ.SF1BB1CA,2020.03,1080.713,Dollars
BDCQ.SF1BB1CA,2020.06,847.349,Dollars
BDCQ.SF1BB1CA,2020.09,925.547,Dollars
BDCQ.SF1BB1CA,2020.12,1085.539,Dollars
BDCQ.SF1BB1CA,2021.03,1063.775,Dollars
BDCQ.SF1BB1CA,2021.06,1077.447,Dollars
BDCQ.SF1BB1CS,2016.06,1119.02,Dollars
BDCQ.SF1BB1CS,2016.09,1101.412,Dollars
BDCQ.SF1BB1CS,2016.12,1139.459,Dollars
BDCQ.SF1BB1CS,2017.03,1040.5,Dollars
BDCQ.SF1BB1CS,2017.06,1150.976,Dollars
BDCQ.SF1BB1CS,2017.09,1084.658,Dollars
BDCQ.SF1BB1CS,2017.12,1352.84,Dollars
BDCQ.SF1BB1CS,2018.03,1224.534,Dollars
BDCQ.SF1BB1CS,2018.06,1105.167,Dollars
BDCQ.SF1BB1CS,2018.09,1372.723,Dollars
BDCQ.SF1BB1CS,2018.12,1230.969,Dollars
BDCQ.SF1BB1CS,2019.03,1115.478,Dollars
BDCQ.SF1BB1CS,2019.06,1210.962,Dollars
BDCQ.SF1BB1CS,2019.09,1234.819,Dollars
BDCQ.SF1BB1CS,2019.12,1276.337,Dollars
BDCQ.SF1BB1CS,2020.03,1080.713,Dollars
BDCQ.SF1BB1CS,2020.06,847.349,Dollars
BDCQ.SF1BB1CS,2020.09,925.547,Dollars
BDCQ.SF1BB1CS,2020.12,1085.539,Dollars
BDCQ.SF1BB1CS,2021.03,1063.775,Dollars
BDCQ.SF1BB1CS,2021.06,1077.447,Dollars
BDCQ.SF1BB1CT,2016.06,1116.391,Dollars
BDCQ.SF1BB1CT,2016.09,1117.962,Dollars
BDCQ.SF1BB1CT,2016.12,1099.874,Dollars
BDCQ.SF1BB1CT,2017.03,1094.298,Dollars
BDCQ.SF1BB1CT,2017.06,1085.074,Dollars
BDCQ.SF1BB1CT,2017.09,1175.875,Dollars
BDCQ.SF1BB1CT,2017.12,1266.02,Dollars
BDCQ.SF1BB1CT,2018.03,1247.612,Dollars
BDCQ.SF1BB1CT,2018.06,1186.903,Dollars
BDCQ.SF1BB1CT,2018.09,1238.234,Dollars
BDCQ.SF1BB1CT,2018.12,1215.797,Dollars
BDCQ.SF1BB1CT,2019.03,1157.345,Dollars
BDCQ.SF1BB1CT,2019.06,1183.655,Dollars
BDCQ.SF1BB1CT,2019.09,1260.084,Dollars
BDCQ.SF1BB1CT,2019.12,1242.986,Dollars
BDCQ.SF1BB1CT,2020.03,1069.707,Dollars
BDCQ.SF1BB1CT,2020.06,889.868,Dollars
BDCQ.SF1BB1CT,2020.09,928.028,Dollars
BDCQ.SF1BB1CT,2020.12,1050.24,Dollars
BDCQ.SF1BB1CT,2021.03,1078.254,Dollars
BDCQ.SF1BB1CT,2021.06,1070.942,Dollars
BDCQ.SF1BBCA,2016.06,1119.02,Dollars
BDCQ.SF1BBCA,2016.09,1101.412,Dollars
BDCQ.SF1BBCA,2016.12,1139.459,Dollars
BDCQ.SF1BBCA,2017.03,1040.5,Dollars
BDCQ.SF1BBCA,2017.06,1150.976,Dollars
BDCQ.SF1BBCA,2017.09,1084.658,Dollars
BDCQ.SF1BBCA,2017.12,1352.84,Dollars
BDCQ.SF1BBCA,2018.03,1224.534,Dollars
BDCQ.SF1BBCA,2018.06,1105.167,Dollars
BDCQ.SF1BBCA,2018.09,1372.723,Dollars
BDCQ.SF1BBCA,2018.12,1230.969,Dollars
BDCQ.SF1BBCA,2019.03,1115.478,Dollars
BDCQ.SF1BBCA,2019.06,1210.962,Dollars
BDCQ.SF1BBCA,2019.09,1234.819,Dollars
BDCQ.SF1BBCA,2019.12,1276.337,Dollars
BDCQ.SF1BBCA,2020.03,1080.713,Dollars
BDCQ.SF1BBCA,2020.06,847.349,Dollars
BDCQ.SF1BBCA,2020.09,925.547,Dollars
BDCQ.SF1BBCA,2020.12,1085.539,Dollars
BDCQ.SF1BBCA,2021.03,1063.775,Dollars
BDCQ.SF1BBCA,2021.06,1077.447,Dollars
BDCQ.SF1BBCS,2016.06,1119.02,Dollars
BDCQ.SF1BBCS,2016.09,1101.412,Dollars
BDCQ.SF1BBCS,2016.12,1139.459,Dollars
BDCQ.SF1BBCS,2017.03,1040.5,Dollars
BDCQ.SF1BBCS,2017.06,1150.976,Dollars
BDCQ.SF1BBCS,2017.09,1084.658,Dollars
BDCQ.SF1BBCS,2017.12,1352.84,Dollars
BDCQ.SF1BBCS,2018.03,1224.534,Dollars
BDCQ.SF1BBCS,2018.06,1105.167,Dollars
BDCQ.SF1BBCS,2018.09,1372.723,Dollars
BDCQ.SF1BBCS,2018.12,1230.969,Dollars
BDCQ.SF1BBCS,2019.03,1115.478,Dollars
BDCQ.SF1BBCS,2019.06,1210.962,Dollars
BDCQ.SF1BBCS,2019.09,1234.819,Dollars
BDCQ.SF1BBCS,2019.12,1276.337,Dollars
BDCQ.SF1BBCS,2020.03,1080.713,Dollars
BDCQ.SF1BBCS,2020.06,847.349,Dollars
BDCQ.SF1BBCS,2020.09,925.547,Dollars
BDCQ.SF1BBCS,2020.12,1085.539,Dollars
BDCQ.SF1BBCS,2021.03,1063.775,Dollars
BDCQ.SF1BBCS,2021.06,1077.447,Dollars
BDCQ.SF1BBCT,2016.06,1116.391,Dollars
BDCQ.SF1BBCT,2016.09,1117.962,Dollars
BDCQ.SF1BBCT,2016.12,1099.874,Dollars
BDCQ.SF1BBCT,2017.03,1094.298,Dollars
BDCQ.SF1BBCT,2017.06,1085.074,Dollars
BDCQ.SF1BBCT,2017.09,1175.875,Dollars
BDCQ.SF1BBCT,2017.12,1266.02,Dollars
BDCQ.SF1BBCT,2018.03,1247.612,Dollars
BDCQ.SF1BBCT,2018.06,1186.903,Dollars
BDCQ.SF1BBCT,2018.09,1238.234,Dollars
BDCQ.SF1BBCT,2018.12,1215.797,Dollars
BDCQ.SF1BBCT,2019.03,1157.345,Dollars
BDCQ.SF1BBCT,2019.06,1183.655,Dollars
BDCQ.SF1BBCT,2019.09,1260.084,Dollars
BDCQ.SF1BBCT,2019.12,1242.986,Dollars
BDCQ.SF1BBCT,2020.03,1069.707,Dollars
BDCQ.SF1BBCT,2020.06,889.868,Dollars
BDCQ.SF1BBCT,2020.09,928.028,Dollars
BDCQ.SF1BBCT,2020.12,1050.24,Dollars
BDCQ.SF1BBCT,2021.03,1078.254,Dollars
BDCQ.SF1BBCT,2021.06,1070.942,Dollars
BDCQ.SF1CC1CA,2016.06,10624.465,Dollars
BDCQ.SF1CC1CA,2016.09,9110.709,Dollars
BDCQ.SF1CC1CA,2016.12,12084.429,Dollars
BDCQ.SF1CC1CA,2017.03,11804.216,Dollars
BDCQ.SF1CC1CA,2017.06,12150.005,Dollars
BDCQ.SF1CC1CA,2017.09,10399.584,Dollars
BDCQ.SF1CC1CA,2017.12,13705.071,Dollars
BDCQ.SF1CC1CA,2018.03,12745.412,Dollars
BDCQ.SF1CC1CA,2018.06,12574.246,Dollars
BDCQ.SF1CC1CA,2018.09,10633.605,Dollars
BDCQ.SF1CC1CA,2018.12,13806.468,Dollars
BDCQ.SF1CC1CA,2019.03,13704.407,Dollars
BDCQ.SF1CC1CA,2019.06,13035.873,Dollars
BDCQ.SF1CC1CA,2019.09,11170.665,Dollars
BDCQ.SF1CC1CA,2019.12,15202.125,Dollars
BDCQ.SF1CC1CA,2020.03,14614.474,Dollars
BDCQ.SF1CC1CA,2020.06,13680.374,Dollars
BDCQ.SF1CC1CA,2020.09,11417.616,Dollars
BDCQ.SF1CC1CA,2020.12,14511.515,Dollars
BDCQ.SF1CC1CA,2021.03,14123.426,Dollars
BDCQ.SF1CC1CA,2021.06,14295.535,Dollars
BDCQ.SF1CC1CS,2016.06,10645.396,Dollars
BDCQ.SF1CC1CS,2016.09,10749.585,Dollars
BDCQ.SF1CC1CS,2016.12,10993.137,Dollars
BDCQ.SF1CC1CS,2017.03,11221.951,Dollars
BDCQ.SF1CC1CS,2017.06,12124.35,Dollars
BDCQ.SF1CC1CS,2017.09,12270.302,Dollars
BDCQ.SF1CC1CS,2017.12,12470.9,Dollars
BDCQ.SF1CC1CS,2018.03,12145.325,Dollars
BDCQ.SF1CC1CS,2018.06,12507.547,Dollars
BDCQ.SF1CC1CS,2018.09,12570.903,Dollars
BDCQ.SF1CC1CS,2018.12,12555.553,Dollars
BDCQ.SF1CC1CS,2019.03,13071.335,Dollars
BDCQ.SF1CC1CS,2019.06,12942.951,Dollars
BDCQ.SF1CC1CS,2019.09,13227.798,Dollars
BDCQ.SF1CC1CS,2019.12,13832.862,Dollars
BDCQ.SF1CC1CS,2020.03,13920.594,Dollars
BDCQ.SF1CC1CS,2020.06,13584.673,Dollars
BDCQ.SF1CC1CS,2020.09,13527.46,Dollars
BDCQ.SF1CC1CS,2020.12,13216.231,Dollars
BDCQ.SF1CC1CS,2021.03,13426.979,Dollars
BDCQ.SF1CC1CS,2021.06,14215.814,Dollars
BDCQ.SF1CC1CT,2016.06,10658.944,Dollars
BDCQ.SF1CC1CT,2016.09,10758.004,Dollars
BDCQ.SF1CC1CT,2016.12,10931.281,Dollars
BDCQ.SF1CC1CT,2017.03,11377.495,Dollars
BDCQ.SF1CC1CT,2017.06,11959.792,Dollars
BDCQ.SF1CC1CT,2017.09,12372.506,Dollars
BDCQ.SF1CC1CT,2017.12,12339.115,Dollars
BDCQ.SF1CC1CT,2018.03,12306.91,Dollars
BDCQ.SF1CC1CT,2018.06,12418.934,Dollars
BDCQ.SF1CC1CT,2018.09,12542.29,Dollars
BDCQ.SF1CC1CT,2018.12,12686.629,Dollars
BDCQ.SF1CC1CT,2019.03,12907.396,Dollars
BDCQ.SF1CC1CT,2019.06,13027.421,Dollars
BDCQ.SF1CC1CT,2019.09,13282.466,Dollars
BDCQ.SF1CC1CT,2019.12,13764.485,Dollars
BDCQ.SF1CC1CT,2020.03,13875.9,Dollars
BDCQ.SF1CC1CT,2020.06,,Dollars
BDCQ.SF1CC1CT,2020.09,,Dollars
BDCQ.SF1CC1CT,2020.12,,Dollars
BDCQ.SF1CC1CT,2021.03,,Dollars
BDCQ.SF1CC1CT,2021.06,,Dollars
BDCQ.SF1CC2CA,2016.06,586.4,Dollars
BDCQ.SF1CC2CA,2016.09,577.941,Dollars
BDCQ.SF1CC2CA,2016.12,571.523,Dollars
BDCQ.SF1CC2CA,2017.03,572.279,Dollars
BDCQ.SF1CC2CA,2017.06,553.194,Dollars
BDCQ.SF1CC2CA,2017.09,541.03,Dollars
BDCQ.SF1CC2CA,2017.12,592.754,Dollars
BDCQ.SF1CC2CA,2018.03,530.018,Dollars
BDCQ.SF1CC2CA,2018.06,556.048,Dollars
BDCQ.SF1CC2CA,2018.09,541.341,Dollars
BDCQ.SF1CC2CA,2018.12,565.895,Dollars
BDCQ.SF1CC2CA,2019.03,527.25,Dollars
BDCQ.SF1CC2CA,2019.06,549.739,Dollars
BDCQ.SF1CC2CA,2019.09,524.132,Dollars
BDCQ.SF1CC2CA,2019.12,516.651,Dollars
BDCQ.SF1CC2CA,2020.03,444.847,Dollars
BDCQ.SF1CC2CA,2020.06,348.318,Dollars
BDCQ.SF1CC2CA,2020.09,503.119,Dollars
BDCQ.SF1CC2CA,2020.12,475.924,Dollars
BDCQ.SF1CC2CA,2021.03,468.887,Dollars
BDCQ.SF1CC2CA,2021.06,490.221,Dollars
BDCQ.SF1CC2CS,2016.06,590.097,Dollars
BDCQ.SF1CC2CS,2016.09,580.873,Dollars
BDCQ.SF1CC2CS,2016.12,559.674,Dollars
BDCQ.SF1CC2CS,2017.03,579.853,Dollars
BDCQ.SF1CC2CS,2017.06,553.935,Dollars
BDCQ.SF1CC2CS,2017.09,544.938,Dollars
BDCQ.SF1CC2CS,2017.12,578.424,Dollars
BDCQ.SF1CC2CS,2018.03,541.286,Dollars
BDCQ.SF1CC2CS,2018.06,554.069,Dollars
BDCQ.SF1CC2CS,2018.09,544.78,Dollars
BDCQ.SF1CC2CS,2018.12,550.623,Dollars
BDCQ.SF1CC2CS,2019.03,543.936,Dollars
BDCQ.SF1CC2CS,2019.06,544.857,Dollars
BDCQ.SF1CC2CS,2019.09,525.744,Dollars
BDCQ.SF1CC2CS,2019.12,503.124,Dollars
BDCQ.SF1CC2CS,2020.03,461.907,Dollars
BDCQ.SF1CC2CS,2020.06,343.965,Dollars
BDCQ.SF1CC2CS,2020.09,503.101,Dollars
BDCQ.SF1CC2CS,2020.12,464.276,Dollars
BDCQ.SF1CC2CS,2021.03,488.409,Dollars
BDCQ.SF1CC2CS,2021.06,483.359,Dollars
BDCQ.SF1CC2CT,2016.06,599.84,Dollars
BDCQ.SF1CC2CT,2016.09,574.095,Dollars
BDCQ.SF1CC2CT,2016.12,570.015,Dollars
BDCQ.SF1CC2CT,2017.03,568.803,Dollars
BDCQ.SF1CC2CT,2017.06,557.406,Dollars
BDCQ.SF1CC2CT,2017.09,552.238,Dollars
BDCQ.SF1CC2CT,2017.12,555.779,Dollars
BDCQ.SF1CC2CT,2018.03,552.542,Dollars
BDCQ.SF1CC2CT,2018.06,546.772,Dollars
BDCQ.SF1CC2CT,2018.09,549.543,Dollars
BDCQ.SF1CC2CT,2018.12,547.113,Dollars
BDCQ.SF1CC2CT,2019.03,547.444,Dollars
BDCQ.SF1CC2CT,2019.06,541.614,Dollars
BDCQ.SF1CC2CT,2019.09,528.065,Dollars
BDCQ.SF1CC2CT,2019.12,497.187,Dollars
BDCQ.SF1CC2CT,2020.03,470.355,Dollars
BDCQ.SF1CC2CT,2020.06,,Dollars
BDCQ.SF1CC2CT,2020.09,,Dollars
BDCQ.SF1CC2CT,2020.12,,Dollars
BDCQ.SF1CC2CT,2021.03,,Dollars
BDCQ.SF1CC2CT,2021.06,,Dollars
BDCQ.SF1CC3CA,2016.06,2247.71,Dollars
BDCQ.SF1CC3CA,2016.09,2216.005,Dollars
BDCQ.SF1CC3CA,2016.12,2201.123,Dollars
BDCQ.SF1CC3CA,2017.03,2063.277,Dollars
BDCQ.SF1CC3CA,2017.06,2242.174,Dollars
BDCQ.SF1CC3CA,2017.09,2279.911,Dollars
BDCQ.SF1CC3CA,2017.12,2361.189,Dollars
BDCQ.SF1CC3CA,2018.03,2229.447,Dollars
BDCQ.SF1CC3CA,2018.06,2412.505,Dollars
BDCQ.SF1CC3CA,2018.09,2449.281,Dollars
BDCQ.SF1CC3CA,2018.12,2429.15,Dollars
BDCQ.SF1CC3CA,2019.03,2175.696,Dollars
BDCQ.SF1CC3CA,2019.06,2428.645,Dollars
BDCQ.SF1CC3CA,2019.09,2409.721,Dollars
BDCQ.SF1CC3CA,2019.12,2345.636,Dollars
BDCQ.SF1CC3CA,2020.03,2247.182,Dollars
BDCQ.SF1CC3CA,2020.06,1963.658,Dollars
BDCQ.SF1CC3CA,2020.09,2421.896,Dollars
BDCQ.SF1CC3CA,2020.12,2480.628,Dollars
BDCQ.SF1CC3CA,2021.03,2324.697,Dollars
BDCQ.SF1CC3CA,2021.06,2672.617,Dollars
BDCQ.SF1CC3CS,2016.06,2212.487,Dollars
BDCQ.SF1CC3CS,2016.09,2169.601,Dollars
BDCQ.SF1CC3CS,2016.12,2153.735,Dollars
BDCQ.SF1CC3CS,2017.03,2196.656,Dollars
BDCQ.SF1CC3CS,2017.06,2201.159,Dollars
BDCQ.SF1CC3CS,2017.09,2231.76,Dollars
BDCQ.SF1CC3CS,2017.12,2315.123,Dollars
BDCQ.SF1CC3CS,2018.03,2377.595,Dollars
BDCQ.SF1CC3CS,2018.06,2360.745,Dollars
BDCQ.SF1CC3CS,2018.09,2395.88,Dollars
BDCQ.SF1CC3CS,2018.12,2387.309,Dollars
BDCQ.SF1CC3CS,2019.03,2323.428,Dollars
BDCQ.SF1CC3CS,2019.06,2370.991,Dollars
BDCQ.SF1CC3CS,2019.09,2354.916,Dollars
